Latitude,Longitude,Acceleration_x,Acceleration_y,Acceleration_z,Gyro_x,Gyro_y,Gyro_z,Temperature,Pressure,Altitude,Voltage,RfLink
2654.66523,8604.8079,-0.09,0.14,9.13,-0.03,0.04,0,42.52,989.06,203.44,3.32,1
,,,,,,,,,,,,
2654.66525,8604.80788,-0.09,0.18,9.12,-0.03,0.03,0,42.52,989.06,203.42,3.32,1
,,,,,,,,,,,,
2654.66528,8604.80788,-0.08,0.16,9.16,-0.03,0.03,0,42.52,989.05,203.4,3.32,1
,,,,,,,,,,,,
2654.6653,8604.80789,-0.09,0.14,9.11,-0.03,0.03,0,42.52,989.06,203.36,3.32,1
,,,,,,,,,,,,
2654.66533,8604.80787,-0.07,0.15,9.15,-0.03,0.03,0,42.52,989.05,203.4,3.33,1
,,,,,,,,,,,,
2654.66536,8604.80785,-0.07,0.17,9.13,-0.03,0.04,0,42.53,989.05,203.45,3.32,1
,,,,,,,,,,,,
2654.66541,8604.80783,-0.09,0.15,9.11,-0.03,0.03,0,42.53,989.05,203.44,3.32,1
,,,,,,,,,,,,
2654.66543,8604.80783,-0.08,0.15,9.12,-0.03,0.03,0,42.53,989.06,203.42,3.32,1
,,,,,,,,,,,,
2654.66545,8604.80783,-0.07,0.14,9.12,-0.03,0.03,0,42.53,989.05,203.47,3.32,1
,,,,,,,,,,,,
2654.66544,8604.80785,-0.09,0.15,9.11,-0.03,0.03,0,42.53,989.06,203.39,3.32,1
,,,,,,,,,,,,
2654.66545,8604.80785,-0.08,0.16,9.13,-0.03,0.03,0,42.53,989.06,203.41,3.32,1
,,,,,,,,,,,,
2654.66544,8604.80786,-0.08,0.15,9.15,-0.03,0.03,0,42.53,989.05,203.42,3.32,1
,,,,,,,,,,,,
